Header information: Rows = 15, Columns = 20, Min value = 0, Max value = 9
(1, 1, 0, 6)
(1, 7, 7, 9)
(1, 16, 4, 5)
(2, 1, 0, 2)
(2, 3, 4, 9)
(2, 12, 0, 9)
(3, 1, 0, 5)
(3, 6, 3, 15)
(4, 1, 3, 3)
(4, 4, 0, 2)
(4, 6, 3, 6)
(4, 12, 7, 9)
(5, 1, 7, 10)
(5, 11, 0, 10)
(6, 1, 0, 2)
(6, 3, 1, 8)
(6, 11, 0, 3)
(6, 14, 8, 4)
(6, 18, 9, 3)
(7, 1, 9, 5)
(7, 6, 0, 3)
(7, 9, 9, 5)
(7, 14, 0, 4)
(7, 18, 8, 3)
(8, 1, 8, 3)
(8, 4, 9, 2)
(8, 6, 0, 3)
(8, 9, 9, 5)
(8, 14, 0, 7)
(9, 1, 0, 7)
(9, 8, 2, 6)
(9, 14, 3, 1)
(9, 15, 4, 6)
(10, 1, 0, 20)
(11, 1, 0, 20)
(12, 1, 0, 20)
(13, 1, 1, 20)
(14, 1, 1, 10)
(14, 11, 6, 10)
(15, 1, 6, 10)
(15, 11, 0, 10)
