225 data points
35 rows and 40 columns
1 6 3
1 7 3
2 4 3
3 3 3
3 5 3
3 7 3
4 4 3
4 5 3
4 6 3
4 8 3
4 31 1
4 32 1
5 3 3
5 5 3
5 7 3
5 29 1
5 30 1
6 4 3
6 5 3
6 8 3
6 9 3
6 10 3
6 25 2
6 26 2
6 28 1
6 29 1
7 2 3
7 4 3
7 5 3
7 6 3
7 8 3
7 24 2
7 26 2
7 29 1
7 30 2
8 2 3
8 3 3
8 4 3
8 5 3
8 7 3
8 22 2
8 24 2
8 25 2
8 27 2
8 28 1
8 29 2
8 31 1
8 32 1
9 3 3
9 6 3
9 7 3
9 8 3
9 9 3
9 20 2
9 23 2
9 24 2
9 26 2
9 29 1
9 32 1
9 33 4
10 2 3
10 3 3
10 5 3
10 7 3
10 8 3
10 10 3
10 19 2
10 22 2
10 25 2
10 27 2
10 28 1
10 30 1
10 31 1
10 33 4
10 34 4
11 4 3
11 5 3
11 7 3
11 9 3
11 12 3
11 22 3
11 23 3
11 27 1
11 30 1
11 31 4
12 3 3
12 4 3
12 6 3
12 7 3
12 10 3
12 11 3
12 25 2
12 27 1
12 29 1
12 31 4
13 5 3
13 6 3
13 8 3
13 9 3
13 24 2
13 26 1
13 28 1
13 30 4
13 32 4
13 33 4
14 7 3
14 25 1
14 26 1
14 30 4
14 32 4
14 33 4
15 4 3
15 5 3
15 9 2
15 10 2
15 21 1
15 23 1
15 26 1
15 28 4
15 29 4
15 31 4
15 32 4
16 7 3
16 24 1
16 27 4
16 29 4
16 30 4
17 26 4
17 28 4
17 31 4
17 32 4
18 27 4
18 29 4
19 24 4
19 28 4
22 7 2
22 10 2
23 28 4
24 3 2
24 4 2
24 6 2
24 7 2
24 8 2
25 5 2
25 6 2
25 28 4
26 4 2
26 7 2
26 8 2
26 27 4
26 28 4
26 29 4
26 30 4
27 3 2
27 5 2
27 6 2
27 7 2
27 8 2
27 24 4
27 25 4
27 28 4
27 29 4
28 4 1
28 6 1
28 7 1
28 9 2
28 10 1
28 11 1
28 12 1
28 14 4
28 23 4
28 24 4
28 25 4
28 26 4
28 29 4
28 30 4
29 2 2
29 3 2
29 5 1
29 6 1
29 7 1
29 8 2
29 24 4
29 25 4
29 28 4
29 29 4
29 31 4
29 32 4
30 4 1
30 5 1
30 7 2
30 10 1
30 11 1
30 20 4
30 23 4
30 24 4
30 26 4
30 27 4
30 32 4
30 33 4
31 3 2
31 5 1
31 6 1
31 9 1
31 10 1
31 26 4
31 27 4
31 29 4
31 30 4
31 33 4
31 34 4
32 2 2
32 3 2
32 6 2
32 7 1
32 25 4
32 26 4
32 28 4
32 29 4
32 32 4
32 33 4
33 26 4
33 27 4
33 30 4
33 31 4
